Country/Area,Month (abbr),Year,Growth Rate(%),Visitor Arrivals
Malaysia,Jan.,2018,,"31,112"
Malaysia,Feb.,2018,,"35,319"
Malaysia,Mar.,2018,,"47,652"
Malaysia,Apr.,2018,,"49,212"
Malaysia,May,2018,,"36,420"
Malaysia,Jun.,2018,,"36,462"
Malaysia,Jul.,2018,,"23,088"
Malaysia,Aug.,2018,,"20,143"
Malaysia,Sep.,2018,,"26,667"
Malaysia,Oct.,2018,,"39,139"
Malaysia,Nov.,2018,,"55,519"
Malaysia,Dec.,2018,,"67,627"
Malaysia,Jan.,2019,0.922473644,"31,399"
Malaysia,Feb.,2019,3.796823240,"36,660"
Malaysia,Mar.,2019,6.217997146,"50,615"
Malaysia,Apr.,2019,-6.339917093,"46,092"
Malaysia,May,2019,17.048325096,"42,629"
Malaysia,Jun.,2019,-16.258022050,"30,534"
Malaysia,Jul.,2019,-0.567394317,"22,957"
Malaysia,Aug.,2019,-1.568783200,"19,827"
Malaysia,Sep.,2019,7.916151048,"28,778"
Malaysia,Oct.,2019,24.847338971,"48,864"
Malaysia,Nov.,2019,17.053621283,"64,987"
Malaysia,Dec.,2019,15.708223047,"78,250"
Malaysia,Jan.,2020,42.772062805,"44,829"
Malaysia,Feb.,2020,-27.471358429,"26,589"
Malaysia,Mar.,2020,-93.505877704,"3,287"
Malaysia,Apr.,2020,-99.956608522,20
Malaysia,May,2020,-99.990616716,4
Malaysia,Jun.,2020,-99.957424510,13
Malaysia,Jul.,2020,-99.973864181,6
Malaysia,Aug.,2020,-98.875271095,223
Malaysia,Sep.,2020,-99.159079853,242
Malaysia,Oct.,2020,-98.710707269,630
Malaysia,Nov.,2020,-99.338329204,430
Malaysia,Dec.,2020,-99.616613419,300
Malaysia,Jan.,2021,-99.460170872,242
Malaysia,Feb.,2021,-99.729211328,72
Malaysia,Mar.,2021,-96.988135078,99
Malaysia,Apr.,2021,375,95
Malaysia,May,2021,"3,550",146
Malaysia,Jun.,2021,715.384615385,106
Malaysia,Jul.,2021,"3,783.333333333",233
Malaysia,Aug.,2021,-18.385650224,182
Malaysia,Sep.,2021,-4.545454545,231
Malaysia,Oct.,2021,-62.380952381,237
Malaysia,Nov.,2021,-69.767441860,130
Malaysia,Dec.,2021,-80.666666667,58
Malaysia,Jan.,2022,-29.338842975,171
Malaysia,Feb.,2022,51.388888889,109
Malaysia,Mar.,2022,474.747474747,569
Malaysia,Apr.,2022,"1,051.578947368","1,094"
Malaysia,May,2022,"1,020.547945205","1,636"
Malaysia,Jun.,2022,999.056603774,"1,165"
Malaysia,Jul.,2022,593.562231760,"1,616"
Malaysia,Aug.,2022,"1,135.164835165","2,248"
Malaysia,Sep.,2022,"1,184.415584416","2,967"
Malaysia,Oct.,2022,"3,601.687763713","8,773"
Malaysia,Nov.,2022,"13,376.153846154","17,519"
Malaysia,Dec.,2022,"62,362.068965517","36,228"
Malaysia,Jan.,2023,"15,747.368421053","27,099"
Malaysia,Feb.,2023,"29,250.458715596","31,992"
Malaysia,Mar.,2023,"6,737.258347979","38,904"
Malaysia,Apr.,2023,"3,578.610603291","40,244"
Malaysia,May,2023,"1,978.484107579","34,004"
Malaysia,Jun.,2023,"1,789.184549356","22,009"
Malaysia,Jul.,2023,974.071782178,"17,357"
Malaysia,Aug.,2023,754.359430605,"19,206"
Malaysia,Sep.,2023,828.311425683,"27,543"
Malaysia,Oct.,2023,414.783996352,"45,162"
Malaysia,Nov.,2023,193.315828529,"51,386"
Malaysia,Dec.,2023,67.842552722,"60,806"
Malaysia,Jan.,2024,18.377061884,"32,079"
Malaysia,Feb.,2024,88.103275819,"60,178"
Malaysia,Mar.,2024,7.837240387,"41,953"
Malaysia,Apr.,2024,14.260510884,"45,983"
Malaysia,May,2024,16.345135866,"39,562"
Malaysia,Jun.,2024,0.149938661,"22,042"
Malaysia,Jul.,2024,10.963876246,"19,260"
Malaysia,Aug.,2024,-10.580027075,"17,174"
Malaysia,Sep.,2024,44.882547290,"39,905"
Malaysia,Oct.,2024,21.985297374,"55,091"
Malaysia,Nov.,2024,,
Malaysia,Dec.,2024,,
