Country/Area,Month (abbr),Year,Growth Rate(%),Visitor Arrivals
Singapore,Jan.,1990,,"2,936"
Singapore,Feb.,1990,,"2,044"
Singapore,Mar.,1990,,"3,417"
Singapore,Apr.,1990,,"4,621"
Singapore,May,1990,,"4,523"
Singapore,Jun.,1990,,"5,135"
Singapore,Jul.,1990,,"2,355"
Singapore,Aug.,1990,,"2,290"
Singapore,Sep.,1990,,"3,362"
Singapore,Oct.,1990,,"4,035"
Singapore,Nov.,1990,,"4,033"
Singapore,Dec.,1990,,"4,264"
Singapore,Jan.,1991,-35.524523161,"1,893"
Singapore,Feb.,1991,12.671232877,"2,303"
Singapore,Mar.,1991,-7.287093942,"3,168"
Singapore,Apr.,1991,-14.585587535,"3,947"
Singapore,May,1991,-16.604023878,"3,772"
Singapore,Jun.,1991,12.229795521,"5,763"
Singapore,Jul.,1991,12.611464968,"2,652"
Singapore,Aug.,1991,0.262008734,"2,296"
Singapore,Sep.,1991,3.628792385,"3,484"
Singapore,Oct.,1991,2.899628253,"4,152"
Singapore,Nov.,1991,10.562856434,"4,459"
Singapore,Dec.,1991,17.096622889,"4,993"
Singapore,Jan.,1992,25.092445853,"2,368"
Singapore,Feb.,1992,43.638732089,"3,308"
Singapore,Mar.,1992,1.041666667,"3,201"
Singapore,Apr.,1992,9.754243729,"4,332"
Singapore,May,1992,-5.567338282,"3,562"
Singapore,Jun.,1992,-12.372028457,"5,050"
Singapore,Jul.,1992,-9.125188537,"2,410"
Singapore,Aug.,1992,11.019163763,"2,549"
Singapore,Sep.,1992,-16.159586682,"2,921"
Singapore,Oct.,1992,-15.944123314,"3,490"
Singapore,Nov.,1992,-11.594527921,"3,942"
Singapore,Dec.,1992,-23.432805928,"3,823"
Singapore,Jan.,1993,32.390202703,"3,135"
Singapore,Feb.,1993,-36.940749698,"2,086"
Singapore,Mar.,1993,-0.249921899,"3,193"
Singapore,Apr.,1993,-18.374884580,"3,536"
Singapore,May,1993,1.993262212,"3,633"
Singapore,Jun.,1993,-22.217821782,"3,928"
Singapore,Jul.,1993,7.634854772,"2,594"
Singapore,Aug.,1993,-4.236955669,"2,441"
Singapore,Sep.,1993,-4.929818555,"2,777"
Singapore,Oct.,1993,1.232091691,"3,533"
Singapore,Nov.,1993,-7.432775241,"3,649"
Singapore,Dec.,1993,3.086581219,"3,941"
Singapore,Jan.,1994,-34.098883573,"2,066"
Singapore,Feb.,1994,35.043144775,"2,817"
Singapore,Mar.,1994,-9.927967429,"2,876"
Singapore,Apr.,1994,-8.031674208,"3,252"
Singapore,May,1994,2.587393339,"3,727"
Singapore,Jun.,1994,4.098778004,"4,089"
Singapore,Jul.,1994,5.744024672,"2,743"
Singapore,Aug.,1994,17.001229005,"2,856"
Singapore,Sep.,1994,24.306805906,"3,452"
Singapore,Oct.,1994,16.982734220,"4,133"
Singapore,Nov.,1994,15.100027405,"4,200"
Singapore,Dec.,1994,12.814006597,"4,446"
Singapore,Jan.,1995,14.036786060,"2,356"
Singapore,Feb.,1995,-14.909478168,"2,397"
Singapore,Mar.,1995,-4.207232267,"2,755"
Singapore,Apr.,1995,12.084870849,"3,645"
Singapore,May,1995,-9.793399517,"3,362"
